year,usdprice,food_vulnerability_index,food_price_inflation_yoy,exports,imports,total_external_debt,debt_growth_rate,trade_deficit,bc_cluster
1999,16.238,1.0286003864061064,-0.12563120737106603,6330290046.4015,9190707400.12723,16449663349.3,0.06076265386611546,2860417353.72573,2
2000,15.7865,1.0,-0.027805148417292758,7292611567.70183,10017946102.9533,15600564697.1,-0.051617995710297127,2725334535.2514706,2
2001,15.232999999999999,0.9649383967313844,-0.035061603268615626,6913563236.58278,10016843464.4205,14978802400.8,-0.03985511475847925,3103280227.83772,2
2002,16.10782608695652,1.0203544856020348,0.057429665000756414,6941782608.39971,9441855805.72043,16687587182.1,0.11408020051113943,2500073197.3207207,2
2003,16.60909090909091,1.0521072377722047,0.031119334131642473,7984802607.16541,11431227764.563,18440377575.4,0.10503557969004285,3446425157.3975897,2
2004,12.79,0.8101859183479555,-0.22993979200875758,9219984982.1651,13446206767.3172,19714073691.8,0.06907104321438329,4226221785.1520996,2
2005,9.619545454545454,0.6093526402017835,-0.24788542184945628,10668033942.2202,15615940998.1694,18503086016.3,-0.0614275717151096,4947907055.9492,2
2006,3.962661290322581,0.2510158230337681,-0.5880614828375146,13064944732.013,17801946033.0814,20160932717.1,0.08959838911949847,4737001301.068401,0
2007,4.292677595628415,0.2719207928057781,0.08328148209683839,14334394905.476,20765264113.3539,21523544177.4,0.06758672723233028,6430869207.877901,0
2008,7.76390350877193,0.4918065124487334,0.8086388590372005,17687393265.7426,26378962124.8588,23346917708.3,0.08471530134031391,8691568859.1162,0
2009,5.398700787401575,0.3419821231686298,-0.3046409217603061,17082688770.8272,24507328507.6505,25377795050.4,0.08698695765642794,7424639736.823301,0
2010,6.134877049180329,0.38861540234886316,0.13636174531040823,21764077876.4401,31034874410.2694,26571755072.0,0.047047429425165044,9270796533.8293,0
2011,6.227894736842105,0.39450763227074426,0.015162111141934664,27147928001.3127,39552695273.8532,27046084648.2,0.01785089373715576,12404767272.540504,0
2012,5.7924497991967865,0.36692425801772316,-0.06991848064954831,27768035486.5528,39740482108.9667,29155976742.1,0.07801099942354939,11972446622.413898,0
2013,6.4384765625,0.40784699347543785,0.11152910870160593,31767533486.4156,44208435661.6417,32454687016.8,0.11314010516193074,12440902175.2261,0
2014,7.640689655172414,0.48400149844312634,0.18672322264470687,33138217973.1849,47985052372.4836,35270692354.7,0.08676729300893604,14846834399.298698,0
2015,6.867470355731226,0.43502171828658825,-0.10119757958206721,35107953649.4787,48297626955.8469,38770937144.2,0.09923946925395621,13189673306.368202,0
2016,6.389353612167301,0.4047352872496944,-0.06962050344562676,37756801960.699,50948491328.485,41569252897.7,0.07217560264515344,13191689367.786003,0
2017,8.115,0.5140468121496216,0.2700815282075697,39281430149.3669,59268104067.9027,51068283464.6,0.22851097637661844,19986673918.535805,1
2018,6.233409090909091,0.39485694048136644,-0.2318657928639445,44518232859.6161,67710074715.3028,57125459320.6,0.11860934899444531,23191841855.686707,0
2019,6.15484375,0.3898801982706743,-0.012603912203303258,45143332661.7344,66963788016.4454,62468325028.8,0.09352862579563226,21820455354.711,0
2020,2.2268404907975463,0.14105979734567803,-0.6381970718919475,38693585662.5986,59835136507.3615,73550857817.1,0.177410436140085,21141550844.7629,1
2021,1.1456612021857924,0.07257221057142446,-0.4855216586368645,49625878882.3326,88070789359.3272,91477590071.6,0.24373247011039179,38444910476.99459,1
2022,0.6874416135881105,0.043546170055940865,-0.3999608153993961,60494519966.4452,96850113683.3775,96944431751.0,0.05976154023210567,36355593716.932304,0
2023,0.6771532184950135,0.04289444895923818,-0.014966209332886615,59346626776.7799,77501889185.137,101370771740.3,0.04565852735790932,18155262408.357094,0
2024,0.6416915544675642,0.040648120512308886,-0.05236874470782782,55234026095.1056,81398218425.737,104486886261.1,0.030739773085511457,26164192330.6314,0
