commodity,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,cluster
"Beans (mung, large grain)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1658333333333333,1.0884,0.0,1
Chickpeas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146153846153847,0.8554054054054053,0.0,1
Lentils (masur),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6475,0.7336363636363636,0.8439655172413794,1.1690322580645163,1.2866666666666666,1.2328571428571427,1.0275438596491229,0.9834920634920635,1.0643548387096775,1.0614754098360655,1.2342622950819673,1.3374545454545455,1.0275806451612903,0.7462295081967214,0.730754716981132,0.8655434782608695,0.9144128113879003,1.0639,0.975620253164557,1.0025372549019607,0.8681595092024539,0.7649999999999999,1
Oil (mustard),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.937,1.7896774193548388,0.0,1
Oil (palm),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.6523529411764706,0.9891891891891892,1.2109756097560975,0.888125,1.0028846153846154,1.309433962264151,1.21,1.0349056603773585,1.0235714285714286,0.8685964912280701,0.8769090909090909,0.9233928571428571,0.8689090909090909,0.7908695652173914,0.9419272727272728,1.3569151138716355,1.5307739307535642,1.191302752293578,1.1843429487179487,1.2967961165048543,1.2898461538461539,1
"Oil (soybean, fortified)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3534913793103447,1.4118490566037736,1.4792682926829268,1
"Potatoes (Holland, white)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5173553719008265,0.24553191489361703,0.129,1
Rice (BRRI-28),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587,0.5344444444444445,0.0,1
Rice (BRRI-29),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5344444444444445,0.49526315789473685,0.0,1
Rice (BRRI-49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45166666666666666,0.43952380952380954,0.0,1
Rice (Gazi),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41250000000000003,0.3884848484848485,0.0,1
Rice (Kajla),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.52,0.0,1
Rice (Nurjahan),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.52375,0.0,1
Rice (Pyzam),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6066666666666667,0.506,0.0,1
Rice (coarse),0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.24882352941176472,0.24459459459459462,0.3508510638297872,0.4486,0.3137037037037037,0.42517241379310344,0.42792452830188676,0.31369565217391304,0.3883333333333333,0.43416666666666665,0.375,0.3710714285714286,0.4560416666666667,0.4457777777777778,0.3578787878787879,0.49328205128205127,0.5152610441767069,0.47541984732824427,0.42681159420289855,0.43851764705882357,0.4363425925925926,0.4188235294117647,1
"Rice (coarse, BR-8/ 11/, Guti Sharna)",20.154999999999998,18.387272727272727,16.8275,16.077272727272728,18.391666666666666,19.7175,20.169999999999998,23.105,23.771666666666665,29.714166666666667,28.574444444444445,16.200909090909093,22.23136363636364,21.653478260869566,17.49684210526316,17.960434782608694,21.086190476190477,20.03047619047619,18.6705,31.51842105263158,24.240952380952383,18.619,25.413809523809526,24.77,0.0,0.0,0.0,0.47,0.0,2
"Rice (coarse, Guti Sharna)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.67,19.803636363636365,15.70111111111111,15.809999999999999,18.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Rice (medium grain),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.876956521739128,18.664347826086956,22.704347826086952,24.022499999999997,18.218333333333334,21.405652173913044,24.35291666666667,21.333333333333332,21.31625,27.597727272727273,26.37913043478261,19.944166666666668,22.125454545454545,21.075,0.0,0.0,0.0,0.0,0.0,0
Wheat,15.403333333333334,13.61111111111111,14.225,14.20111111111111,13.616363636363637,12.879,16.511000000000003,19.71857142857143,23.11285714285714,33.964,23.166153846153847,11.7805,15.273888888888889,11.831111111111111,15.01736842105263,18.29388888888889,19.23333333333333,17.62933333333333,14.462941176470588,19.694615384615382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Wheat flour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875,0.316,0.42696428571428574,4.638548387096773,3.4109333333333334,1.7461194029850746,2.3543055555555554,3.9861538461538464,3.8275675675675678,3.461466666666667,4.1786301369863015,2.5191891891891895,3.8564285714285713,2.7141428571428574,4.518548387096774,0.7652173913043478,0.6722888283378746,0.5364210526315789,0.5641898148148148,0.46855731225296443,0.4243136645962733,0.44846153846153847,1
