year,annual_rfq,avg_price,food_volatility,debt_growth,Value,risk_era,era_label
1998,309648.2175675,18.571111111111108,2.5740602384387024,0.0876445864736195,15507392996.3,1,Stable
1999,271437.5606575,16.238,2.9672219862675373,0.06076265386611546,16449663349.3,1,Stable
2000,284896.529654,15.7865,1.4316397481283667,-0.051617995710297127,15600564697.1,1,Stable
2001,274724.20068,15.232999999999999,1.1687739865256015,-0.03985511475847925,14978802400.8,1,Stable
2002,275620.851389,16.10782608695652,2.4947398416408784,0.11408020051113943,16687587182.1,1,Stable
2003,265792.508485,16.60909090909091,3.5276241959047265,0.10503557969004285,18440377575.4,1,Stable
2004,270823.582507,12.79,8.798252025810434,0.06907104321438329,19714073691.8,2,Moderate Stress
2005,268130.854473,8.5336,10.61851016876104,-0.0614275717151096,18503086016.3,2,Moderate Stress
2006,228528.988865,3.56354609929078,7.932814500969266,0.08959838911949847,20160932717.1,2,Moderate Stress
2007,311772.311533,3.737090909090909,9.46882009838738,0.06758672723233028,21523544177.4,0,Crisis
2008,251076.632633,6.765130111524163,15.03563177380603,0.08471530134031391,23346917708.3,2,Moderate Stress
2009,236574.67354,4.681788079470199,10.094276466897291,0.08698695765642794,25377795050.4,2,Moderate Stress
2010,244662.418132,5.233310810810811,12.689324988445657,0.047047429425165044,26571755072.0,2,Moderate Stress
2011,241841.4166871,5.358966666666666,13.00723029955935,0.01785089373715576,27046084648.2,2,Moderate Stress
2012,255231.386941,4.867147435897436,10.924381557575323,0.07801099942354939,29155976742.1,2,Moderate Stress
2013,243419.067822,5.511650485436893,12.78423438812156,0.11314010516193074,32454687016.8,2,Moderate Stress
2014,223225.1986717,6.471735015772871,14.176172952356739,0.08676729300893604,35270692354.7,2,Moderate Stress
2015,267472.6621154,5.764451612903226,12.445413454013512,0.09923946925395621,38770937144.2,2,Moderate Stress
2016,282149.4421595,5.435943396226415,12.228056360534467,0.07217560264515344,41569252897.7,2,Moderate Stress
2017,357107.445899,6.763557046979866,15.389272317310219,0.22851097637661844,51068283464.6,0,Crisis
2018,243657.276347,5.160509090909091,13.606932530095333,0.11860934899444531,57125459320.6,2,Moderate Stress
2019,302297.629941,5.118109243697479,11.71158459430382,0.09352862579563226,62468325028.8,0,Crisis
2020,304639.7679993,1.845663430420712,7.137160999653763,0.177410436140085,73550857817.1,0,Crisis
2021,269398.1593985,1.218648068669528,4.083925517698461,0.24373247011039179,91477590071.6,0,Crisis
2022,261396.093064,0.9763991625959526,0.47739737532351245,0.05976154023210567,96944431751.0,1,Stable
2023,273057.0891205,0.8471844660194175,0.31534036884360783,0.04565852735790932,101370771740.3,1,Stable
2024,277550.186708,0.8676497490239821,0.8615710856412746,0.030739773085511457,104486886261.1,1,Stable
